time/fps,train/policy_loss,time/iterations,train/explained_variance,train/learning_rate,time/total_timesteps,time/time_elapsed,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/n_updates
390,-0.04082777723670006,100,1.1920928955078125e-07,0.01,12800,32,0.0005548838526010513,212.38333333333333,0.11737881666666665,-1.8973721265792847,99
378,0.03267303854227066,200,0.0,0.01,25600,67,0.004718703217804432,207.01,0.14656817,-1.8958381414413452,199
380,-0.027486473321914673,300,0.0,0.01,38400,100,0.0058347005397081375,180.92,0.16778405999999996,-1.8953990936279297,299
385,0.05379645526409149,400,-1.1920928955078125e-07,0.01,51200,132,0.005110124591737986,177.94,0.16656143999999998,-1.8948718309402466,399
389,0.10935793817043304,500,5.960464477539063e-08,0.01,64000,164,0.014534633606672287,200.34,0.16006526000000001,-1.9077558517456055,499
391,-0.04811910539865494,600,5.960464477539063e-08,0.01,76800,196,0.000814703933428973,203.84,0.17599096000000003,-1.9069913625717163,599
390,-0.023020131513476372,700,0.0,0.01,89600,229,0.0002234963612863794,222.84,0.18338562,-1.9047181606292725,699
391,-0.05781807005405426,800,0.0,0.01,102400,261,0.0014385809190571308,230.26,0.18651830999999996,-1.8951091766357422,799
392,0.012354508973658085,900,0.0,0.01,115200,293,0.0033144447952508926,198.59,0.17388005000000004,-1.8724814653396606,899
393,0.04706990346312523,1000,-1.1920928955078125e-07,0.01,128000,325,0.004206666257232428,153.5,0.21778434000000002,-1.8562253713607788,999
392,0.18320167064666748,1100,-1.1920928955078125e-07,0.01,140800,358,0.021187763661146164,147.23,0.23025057000000002,-1.8363693952560425,1099
392,-0.04283594340085983,1200,0.0,0.01,153600,391,0.007010846398770809,136.17,0.24616747999999997,-1.8361409902572632,1199
392,0.027026977390050888,1300,1.1920928955078125e-07,0.01,166400,423,0.0036903934087604284,156.55,0.23066609,-1.7941677570343018,1299
391,-0.014546035788953304,1400,0.0,0.01,179200,457,0.00492267869412899,142.93,0.19850258,-1.7790000438690186,1399
391,-0.023028738796710968,1500,0.0,0.01,192000,490,0.006942705251276493,145.3,0.26277445,-1.7862420082092285,1499
391,0.15376338362693787,1600,0.0,0.01,204800,522,0.014982449822127819,138.55,0.23242006000000004,-1.7647144794464111,1599
392,-0.039975252002477646,1700,-1.1920928955078125e-07,0.01,217600,554,0.005031792912632227,140.58,0.25930734,-1.7587292194366455,1699
393,-0.004926346242427826,1800,0.0,0.01,230400,585,0.0011997935362160206,133.88,0.21509363000000004,-1.759729266166687,1799
394,-0.07381857931613922,1900,5.960464477539063e-08,0.01,243200,616,0.008688261732459068,142.18,0.22666103000000004,-1.7405451536178589,1899
395,0.04396377503871918,2000,5.960464477539063e-08,0.01,256000,647,0.013254137709736824,120.24,0.23240453,-1.733378529548645,1999
396,-0.09935355186462402,2100,0.0,0.01,268800,678,0.003704729722812772,128.5,0.22947101,-1.7186084985733032,2099
396,-0.06044315919280052,2200,0.0,0.01,281600,710,0.008643564768135548,114.62,0.21540508,-1.7217271327972412,2199
397,0.01579292118549347,2300,-1.1920928955078125e-07,0.01,294400,741,0.005433342419564724,104.14,0.24347223999999998,-1.7048583030700684,2299
397,-0.0780310332775116,2400,0.0,0.01,307200,772,0.008046272210776806,116.23,0.26376319000000004,-1.7172861099243164,2399
398,-0.14447906613349915,2500,0.0,0.01,320000,803,0.01611446775496006,118.81,0.24475836000000004,-1.6980293989181519,2499
398,-0.04575108364224434,2600,1.1920928955078125e-07,0.01,332800,835,0.015857262536883354,110.74,0.24957721999999996,-1.7132039070129395,2599
398,0.039755284786224365,2700,0.0,0.01,345600,867,0.009530690498650074,137.01,0.23300338999999998,-1.69020414352417,2699
398,-0.06628827005624771,2800,0.0,0.01,358400,899,0.005142046604305506,125.06,0.27401584999999995,-1.673581600189209,2799
397,-0.02688124030828476,2900,0.0,0.01,371200,933,0.0042129866778850555,107.72,0.22201300000000004,-1.6616289615631104,2899
397,-0.017695339396595955,3000,0.0,0.01,384000,965,0.006410716101527214,98.59,0.26473673999999997,-1.637882947921753,2999
397,-0.010033959522843361,3100,0.0,0.01,396800,998,0.002378416247665882,108.38,0.26705704,-1.640964388847351,3099
396,-0.083031564950943,3200,-1.1920928955078125e-07,0.01,409600,1031,0.003117771353572607,106.65,0.23260618,-1.6187171936035156,3199
396,0.05279924347996712,3300,0.0,0.01,422400,1064,0.00474080303683877,112.78,0.22235081,-1.6219526529312134,3299
397,-0.0004820958711206913,3400,-1.1920928955078125e-07,0.01,435200,1095,0.0077054486609995365,122.51,0.24133910999999997,-1.6085892915725708,3399
397,0.013967099599540234,3500,0.0,0.01,448000,1126,0.007777079474180937,108.14,0.23762527999999997,-1.5914113521575928,3499
397,-0.01980534940958023,3600,-1.1920928955078125e-07,0.01,460800,1158,0.003947594203054905,109.08,0.22503799999999996,-1.562290906906128,3599
398,-0.023208152502775192,3700,0.0,0.01,473600,1189,0.009056255221366882,102.68,0.23287651,-1.4691516160964966,3699
398,-0.037261296063661575,3800,-1.1920928955078125e-07,0.01,486400,1222,0.004406149033457041,89.13,0.23654845000000005,-1.4782006740570068,3799
397,0.009984506294131279,3900,0.0,0.01,499200,1254,0.0051145488396286964,108.23,0.23054823,-1.4790925979614258,3899
