train/explained_variance,train/entropy_loss,time/iterations,time/time_elapsed,train/policy_loss,train/learning_rate,train/value_loss,train/n_updates,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
0.005541384220123291,-1.9455387592315674,100,36,0.11241456866264343,0.001,0.005513295531272888,99,12800,350,216.40350877192984,0.19954126315789472
0.03181546926498413,-1.9447603225708008,200,69,0.15228155255317688,0.001,0.016544092446565628,199,25600,366,205.83,0.21158767999999994
0.16918081045150757,-1.9445533752441406,300,102,-0.0867561548948288,0.001,0.0030838274396955967,299,38400,372,209.3,0.23263354000000003
0.5839128792285919,-1.9439735412597656,400,135,-0.08008673787117004,0.001,0.001811124850064516,399,51200,376,229.21,0.26220192000000003
-1.6803405284881592,-1.9354867935180664,500,166,-0.09538668394088745,0.001,0.0031056287698447704,499,64000,383,215.93,0.2577507
0.6433161497116089,-1.910465955734253,600,197,-0.023884329944849014,0.001,0.0025630276650190353,599,76800,389,179.23,0.23130729999999997
0.03605395555496216,-1.938154935836792,700,227,-0.024336498230695724,0.001,0.0002686688385438174,699,89600,393,166.65,0.2432091
-2.235750198364258,-1.907050609588623,800,258,-0.1370571404695511,0.001,0.005798508878797293,799,102400,396,154.58,0.24093915
0.04186218976974487,-1.197622299194336,900,289,0.06806464493274689,0.001,0.0132882846519351,899,115200,397,83.61,0.31719462
-0.0660783052444458,-1.0520706176757812,1000,325,-0.07796075940132141,0.001,0.014728007838129997,999,128000,392,75.42,0.36414444
0.030497252941131592,-1.6536426544189453,1100,359,0.0479717031121254,0.001,0.008307769894599915,1099,140800,391,61.32,0.35902655999999994
0.29482191801071167,-1.5414373874664307,1200,393,-0.06312494724988937,0.001,0.016347788274288177,1199,153600,390,66.4,0.35786204999999993
0.59433314204216,-1.635225534439087,1300,425,-0.04538252204656601,0.001,0.0047097052447497845,1299,166400,391,89.26,0.47243346
0.6222476065158844,-0.8233800530433655,1400,457,-0.021853012964129448,0.001,0.008985849097371101,1399,179200,391,71.44,0.5510159499999999
0.7234858274459839,-0.8117315173149109,1500,491,-0.018654469400644302,0.001,0.005864042788743973,1499,192000,390,63.16,0.59712063
0.5732430219650269,-0.71503084897995,1600,523,-0.021146828308701515,0.001,0.010371681302785873,1599,204800,390,65.45,0.61830252
0.03064197301864624,-1.4419370889663696,1700,557,-0.047092922031879425,0.001,0.003147650510072708,1699,217600,390,79.26,0.60393434
0.5794097185134888,-0.5354166626930237,1800,589,0.05273046717047691,0.001,0.023516617715358734,1799,230400,390,66.15,0.63388609
0.6301872432231903,-0.6947579383850098,1900,623,0.012102385051548481,0.001,0.005732657387852669,1899,243200,389,64.22,0.6041930300000001
0.5761121809482574,-1.2068047523498535,2000,655,-0.04984348267316818,0.001,0.009359762072563171,1999,256000,390,85.91,0.64421996
0.8509006351232529,-0.4663817882537842,2100,690,0.017673300579190254,0.001,0.005312701687216759,2099,268800,389,65.36,0.6469594799999999
0.9408644549548626,-0.3607633113861084,2200,724,-0.0017257384024560452,0.001,0.0014292198466137052,2199,281600,388,60.63,0.65238944
0.502518504858017,-0.5753766894340515,2300,757,-0.05258995294570923,0.001,0.015542934648692608,2299,294400,388,67.53,0.64207418
0.8613764494657516,-0.5818060636520386,2400,788,-0.005062692798674107,0.001,0.003609293606132269,2399,307200,389,70.89,0.6725085900000002
0.78729048371315,-0.5654720067977905,2500,821,-0.003395063802599907,0.001,0.005839921068400145,2499,320000,389,64.42,0.6519147200000001
0.7335188090801239,-0.8789716362953186,2600,854,0.04633235186338425,0.001,0.014357337728142738,2599,332800,389,79.5,0.71440033
0.5995997786521912,-1.1081622838974,2700,885,-0.05839212238788605,0.001,0.008402775041759014,2699,345600,390,96.63,0.7973163900000002
0.6155753135681152,-1.0166292190551758,2800,918,-0.05059927701950073,0.001,0.01620437204837799,2799,358400,390,118.61,0.8412745299999999
0.8351944386959076,-1.202195405960083,2900,950,0.09175682812929153,0.001,0.010713661089539528,2899,371200,390,83.59,0.7916151800000002
0.8230332434177399,-1.170427918434143,3000,981,-0.11481494456529617,0.001,0.016704430803656578,2999,384000,391,84.29,0.8108609399999999
0.879076786339283,-0.7747716903686523,3100,1013,-0.055824484676122665,0.001,0.007926000282168388,3099,396800,391,111.54,0.93401623
0.5105134546756744,-0.7572478652000427,3200,1044,0.01907317340373993,0.001,0.016608241945505142,3199,409600,392,114.55,0.95929493
0.7938864231109619,-1.1260030269622803,3300,1075,-0.01487619150429964,0.001,0.011067910119891167,3299,422400,392,146.04,0.9187375299999999
0.9143296927213669,-1.1864573955535889,3400,1107,-0.01592937670648098,0.001,0.002540596993640065,3399,435200,393,117.38,0.92288025
0.9401976726949215,-1.049818992614746,3500,1138,-0.027155393734574318,0.001,0.0024660415947437286,3499,448000,393,128.38,0.9472867599999999
0.8388804197311401,-0.5801078081130981,3600,1169,0.032223932445049286,0.001,0.010899790562689304,3599,460800,393,104.72,0.9691877200000001
0.9016246572136879,-0.636217474937439,3700,1202,-0.02269314043223858,0.001,0.006562184076756239,3699,473600,393,93.93,0.9847675899999999
0.8904648870229721,-0.6977117657661438,3800,1238,-0.02066611684858799,0.001,0.005650441627949476,3799,486400,392,102.33,1.0127301199999998
0.8011041432619095,-0.6711215376853943,3900,1270,-0.004739556927233934,0.001,0.008544165641069412,3899,499200,392,98.81,1.01619432
