rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/loss,train/clip_fraction,train/value_loss
132.08,33,1483,182,270336,0.9057361199999998,480,-1.2960747725019852,1e-05,-0.020176038216353238,0.1,0.005332033,0.4390859603881836,-0.03249005600810051,0.21298014322916667,0.0018626275538129752
129.46,34,1529,182,278528,0.9578347599999999,495,-1.2720162974049647,1e-05,-0.021307611490677423,0.1,0.005544323,0.44335269927978516,-0.0317268893122673,0.22242024739583333,0.001832491526662731
129.71,35,1573,182,286720,0.9783876299999998,510,-1.2395332938681045,1e-05,-0.023268248376552947,0.1,0.0065339766,0.48669320344924927,-0.038751017302274704,0.2383056640625,0.0017955916613876374
124.46,36,1617,182,294912,0.94465303,525,-1.2366361332436402,1e-05,-0.022165794560472327,0.1,0.0062286775,0.5387732088565826,-0.032142192125320435,0.240966796875,0.0016808038033256404
127.73,37,1661,182,303104,0.9603767199999999,540,-1.2058764424175024,1e-05,-0.022368263867489684,0.1,0.005975125,0.5334841012954712,-0.03754091635346413,0.235498046875,0.0017664340992572154
131.69,38,1705,182,311296,0.9745276800000002,555,-1.1854170698672533,1e-05,-0.02298310861515347,0.1,0.006302842,0.5501461625099182,-0.04626106843352318,0.24847819010416666,0.0017586338443834394
122.3,39,1748,182,319488,1.0104679600000002,570,-1.1801288292432826,1e-05,-0.025031703039227676,0.1,0.0067214672,0.5758768916130066,-0.046064868569374084,0.25166015625,0.0017577167150193418
131.88,40,1792,182,327680,1.0483995799999999,585,-1.149382087091605,1e-05,-0.02315425924947097,0.1,0.0071254163,0.6273844838142395,-0.032354410737752914,0.24812825520833334,0.0016853331414798352
131.21,41,1835,182,335872,1.07410523,600,-1.1471888122459253,1e-05,-0.02472338110601413,0.1,0.007383032,0.6394244134426117,-0.052696894854307175,0.269287109375,0.001740718313309723
124.41,42,1879,183,344064,1.0782703500000002,615,-1.1112117575481535,1e-05,-0.024796810155385172,0.1,0.007965572,0.6518276333808899,-0.040992725640535355,0.2668050130208333,0.001664405183934529
133.05,43,1923,183,352256,1.0864985299999999,630,-1.0779060629817347,1e-05,-0.024968127932030862,0.1,0.0069524413,0.6680875718593597,-0.035276029258966446,0.25662434895833336,0.0016797016588801247
139.56,44,1966,183,360448,1.1122607100000002,645,-1.097597843160232,1e-05,-0.025627153375535273,0.1,0.008120824,0.6796514689922333,-0.025490596890449524,0.2767578125,0.0016966174744084128
138.65,45,2010,183,368640,1.11711019,660,-1.0657908817442754,1e-05,-0.025475296362128575,0.1,0.008418508,0.6623695194721222,-0.030853476375341415,0.2722086588541667,0.0017796558205797435
137.54,46,2054,183,376832,1.1173016199999999,675,-1.0539083953946828,1e-05,-0.024728022077518595,0.1,0.008123656,0.6838077902793884,-0.03539809212088585,0.2598958333333333,0.0017625231422243814
140.37,47,2098,183,385024,1.15344648,690,-1.0548620814767977,1e-05,-0.02503866256738547,0.1,0.008438806,0.6900875568389893,-0.031019937247037888,0.2705078125,0.0017889468088469584
134.14,48,2141,183,393216,1.1641123699999998,705,-1.0152787407239279,1e-05,-0.02523666162766555,0.1,0.008875456,0.7214271128177643,-0.047205887734889984,0.27005208333333336,0.0016225263491226845
137.77,49,2185,183,401408,1.1627741800000002,720,-1.0062343019992113,1e-05,-0.026090306994350006,0.1,0.009792424,0.6984421610832214,-0.04202594608068466,0.28126627604166665,0.0017818330541861844
140.2,50,2228,183,409600,1.14589518,735,-1.031505066777269,1e-05,-0.02474211711184277,0.1,0.009580053,0.7237216234207153,-0.034211620688438416,0.28439127604166664,0.0016859858311363495
141.07,51,2272,183,417792,1.1643799600000002,750,-0.9774511794870099,1e-05,-0.02477928977702201,0.1,0.009544096,0.7046566903591156,-0.039490956813097,0.2791829427083333,0.001832164847413272
142.44,52,2316,183,425984,1.16757089,765,-0.9953042084040741,1e-05,-0.02656151191670991,0.1,0.010498973,0.7377054393291473,-0.04954413324594498,0.2881591796875,0.001726920441827436
131.4,53,2359,183,434176,1.1620942,780,-0.9520431546804805,1e-05,-0.025476804228916686,0.1,0.010158265,0.73931685090065,-0.033928290009498596,0.2873616536458333,0.0017234861559093891
129.23,54,2403,184,442368,1.16048294,795,-0.92378504552568,1e-05,-0.025734650486750374,0.1,0.010487074,0.7476975917816162,-0.039548952132463455,0.2900472005208333,0.001674301901311992
124.29,55,2447,184,450560,1.16600568,810,-0.9242127077654004,1e-05,-0.02542067858206186,0.1,0.010306601,0.7608796954154968,-0.030287886038422585,0.28158365885416664,0.001613909447617819
123.49,56,2490,184,458752,1.177637,825,-0.8972830998090406,1e-05,-0.026035828760116904,0.1,0.010485729,0.7626509368419647,-0.03741111606359482,0.2856038411458333,0.001676070893972792
122.33,57,2534,184,466944,1.16584392,840,-0.8822178311956426,1e-05,-0.026018520263945296,0.1,0.011111122,0.7707474827766418,-0.026306122541427612,0.28382975260416665,0.0016328989531151214
120.97,58,2577,184,475136,1.17076114,855,-0.882846285464863,1e-05,-0.026586424660733125,0.1,0.011409793,0.7794361114501953,-0.038445815443992615,0.28573404947916664,0.0016605425308322689
137.02,59,2621,184,483328,1.15268919,870,-0.8735471168222527,1e-05,-0.026823604120969926,0.1,0.011658702,0.7806040793657303,-0.04201415926218033,0.30067545572916665,0.0016084698677635363
142.8,60,2665,184,491520,1.15777165,885,-0.9265553027080993,1e-05,-0.02601048534997972,0.1,0.011847783,0.781085804104805,-0.02528306283056736,0.309326171875,0.0016401545965891273
137.81,61,2708,184,499712,1.17958717,900,-0.8829753609995047,1e-05,-0.026169000179409825,0.1,0.012497367,0.7784094959497452,-0.043921370059251785,0.30502115885416664,0.0016504132831869356
141.6,62,2752,184,507904,1.1791983,915,-0.8775722824657957,1e-05,-0.02686610831830573,0.1,0.012416232,0.7740730345249176,-0.04669085144996643,0.3033040364583333,0.0017221711056966645
