time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/loss,train/learning_rate
25,88.69,173,0.58512387,1180,204800,360,-0.018367173283089264,0.0015605703710510474,-1.4849801627919077,0.003964292,0.3752635717391968,0.1,0.1677978515625,-0.03761971369385719,1e-05
26,88.05,173,0.60566933,1227,212992,375,-0.019002110679381682,0.001493211505991591,-1.4494395155459643,0.004341557,0.4335922598838806,0.1,0.16956380208333333,-0.01685492880642414,1e-05
27,95.73,173,0.62994462,1274,221184,390,-0.018360372674942484,0.0014820993383485377,-1.415250438141326,0.0041219215,0.44526129961013794,0.1,0.1673828125,-0.038821376860141754,1e-05
28,95.35,173,0.6650929999999999,1321,229376,405,-0.020249991509869385,0.0014183515252019182,-1.401220251681904,0.0042828084,0.4747413992881775,0.1,0.18675130208333332,-0.028538143262267113,1e-05
29,87.47,173,0.6268464,1368,237568,420,-0.019714816209549704,0.0015005394772742875,-1.3889366752157608,0.004351246,0.4849323630332947,0.1,0.18015950520833332,-0.02571428008377552,1e-05
30,86.87,173,0.6347424100000001,1416,245760,435,-0.02041769087081775,0.0015093075329180767,-1.3532590753088394,0.0042901393,0.508906751871109,0.1,0.18592936197916668,-0.03508254513144493,1e-05
31,93.12,173,0.64776901,1461,253952,450,-0.020272004510479745,0.001552947906202462,-1.3235398745164275,0.0046095764,0.5127222239971161,0.1,0.18468424479166667,-0.015761977061629295,1e-05
32,93.83,173,0.65589529,1509,262144,465,-0.02059095664662891,0.0014216573889522502,-1.3254340171193084,0.0047159945,0.5986619889736176,0.1,0.19659830729166666,-0.03985879197716713,1e-05
33,88.82,173,0.66034718,1559,270336,480,-0.021927763388036207,0.0014135072874523757,-1.30812159695973,0.0051505174,0.5870561003684998,0.1,0.21497395833333333,-0.031787145882844925,1e-05
34,86.91,173,0.65425498,1605,278528,495,-0.023368713585174797,0.0014123686592029117,-1.2722815160329144,0.005266341,0.6088371276855469,0.1,0.2201171875,-0.04153234511613846,1e-05
35,86.68,173,0.6567525500000001,1651,286720,510,-0.02219449977322559,0.001433753253938145,-1.2577554142723482,0.005441195,0.6299287974834442,0.1,0.215087890625,-0.04100913926959038,1e-05
36,96.53,173,0.68012911,1696,294912,525,-0.022024360574869208,0.0014538531437210621,-1.2468891312057773,0.0052664913,0.6344219148159027,0.1,0.2196533203125,-0.03433868661522865,1e-05
37,85.79,174,0.6639212600000001,1741,303104,540,-0.022916905917130255,0.001347353381697758,-1.2565110723798474,0.0055766823,0.6621668636798859,0.1,0.22705078125,-0.029952533543109894,1e-05
38,96.83,174,0.6951236299999999,1787,311296,555,-0.023355489816215897,0.0013695486649946058,-1.214107626490295,0.0052082613,0.6556332111358643,0.1,0.2203369140625,-0.04156634584069252,1e-05
39,98.76,174,0.7036710700000001,1831,319488,570,-0.02640157089578376,0.001370639341318262,-1.234712757418553,0.0064802635,0.6742660105228424,0.1,0.24803059895833332,-0.038590945303440094,1e-05
40,89.7,174,0.7024871800000001,1878,327680,585,-0.025905606987847326,0.0013810698691486324,-1.2165526732802392,0.0058080335,0.68330517411232,0.1,0.23798828125,-0.03850787132978439,1e-05
41,95.81,174,0.7239717200000001,1924,335872,600,-0.025337907047166177,0.001427273339625875,-1.1834504098941883,0.006413703,0.6689796149730682,0.1,0.23671061197916668,-0.04897711053490639,1e-05
42,94.64,174,0.73791594,1970,344064,615,-0.025516690397489585,0.0014502984395221574,-1.1897416492924093,0.006593656,0.6712756454944611,0.1,0.24415690104166668,-0.05373159795999527,1e-05
43,98.03,174,0.7492804099999999,2016,352256,630,-0.026314276204114626,0.0014297392758635397,-1.1618197803075114,0.0067153214,0.6603492796421051,0.1,0.2551188151041667,-0.03893180564045906,1e-05
44,99.85,174,0.77377571,2060,360448,645,-0.026445134632619254,0.0014458553657277662,-1.140795419892917,0.0069882106,0.6845941841602325,0.1,0.25384928385416666,-0.04955725744366646,1e-05
45,97.15,175,0.7621693800000001,2105,368640,660,-0.027987211758105937,0.0014285299844838542,-1.1436439572523038,0.0077172546,0.688071608543396,0.1,0.2678304036458333,-0.03979644551873207,1e-05
46,105.14,175,0.8364686299999998,2152,376832,675,-0.02779779324385648,0.001350667644571028,-1.111394220093886,0.0073887417,0.7019593715667725,0.1,0.26072591145833335,-0.04667355492711067,1e-05
47,102.12,174,0.81873399,2201,385024,690,-0.02836154743175333,0.001426529475732726,-1.1044995445758103,0.008181472,0.6887098252773285,0.1,0.2748942057291667,-0.037664368748664856,1e-05
48,124.52,174,0.85561123,2250,393216,705,-0.028760814526079533,0.00148170615145015,-1.094195969371746,0.008751703,0.682741105556488,0.1,0.2760416666666667,-0.04900201037526131,1e-05
49,133.61,174,0.8697193300000001,2300,401408,720,-0.029719405951618684,0.0013892032180137903,-1.1642448579892517,0.008589314,0.7072301208972931,0.1,0.2919921875,-0.04418821632862091,1e-05
50,131.53,174,0.8849911800000001,2347,409600,735,-0.02879480272483003,0.00144205023301159,-1.1484570868934194,0.008585724,0.7053585946559906,0.1,0.2972900390625,-0.04426676407456398,1e-05
51,117.19,174,0.8858842599999999,2393,417792,750,-0.03016710413794499,0.0013653973801107592,-1.1104016775265335,0.00901646,0.7169649004936218,0.1,0.30397135416666665,-0.052097808569669724,1e-05
52,106.7,174,0.8725566099999998,2442,425984,765,-0.029517350616758146,0.001356177509266369,-1.0699844237727423,0.009294517,0.7289521992206573,0.1,0.29396158854166665,-0.05001413822174072,1e-05
53,128.75,174,0.9114682599999998,2489,434176,780,-0.029020741476172892,0.0013544657269752255,-1.0488922741574547,0.00889223,0.7412767708301544,0.1,0.29453938802083335,-0.05141088366508484,1e-05
54,143.59,174,0.9609737100000001,2537,442368,795,-0.02955854299677109,0.0013195780514858293,-1.0999110875340798,0.010211,0.7585010379552841,0.1,0.3169352213541667,-0.04452282935380936,1e-05
55,140.89,174,0.9584681700000002,2584,450560,810,-0.03036750154715264,0.0013726760062127141,-1.1151899217007062,0.011071271,0.7533403486013412,0.1,0.32989095052083334,-0.03498280420899391,1e-05
56,124.18,174,0.92930024,2631,458752,825,-0.030180807588718987,0.0013308188590447874,-1.0811042551261683,0.010310329,0.764119103550911,0.1,0.32107747395833336,-0.04620768502354622,1e-05
57,119.39,174,0.9454779399999999,2678,466944,840,-0.029988715767831308,0.001334971486479238,-1.0221141459730765,0.010759993,0.7664461135864258,0.1,0.30660807291666664,-0.03617575764656067,1e-05
58,140.73,174,0.9897747,2724,475136,855,-0.02964151027505674,0.0013163472938382862,-1.0227535319825014,0.010710311,0.7731353044509888,0.1,0.30747884114583335,-0.043461527675390244,1e-05
59,153.17,174,1.0023371699999999,2770,483328,870,-0.03010221640918947,0.001268573144776989,-1.0622306089537839,0.0109046865,0.8008664548397064,0.1,0.3270263671875,-0.051121775060892105,1e-05
60,142.42,174,0.9971028900000001,2816,491520,885,-0.029825243094334535,0.0012237668098350695,-1.0624296981530885,0.011188103,0.8138864487409592,0.1,0.32244466145833334,-0.03644563630223274,1e-05
61,140.67,174,1.0178911199999998,2861,499712,900,-0.02969518707007713,0.0013317858297493027,-0.9991230563260615,0.012021724,0.7842797338962555,0.1,0.31988932291666666,-0.04063529521226883,1e-05
62,118.0,174,0.99748306,2908,507904,915,-0.02960956547224972,0.00152024244198401,-0.9750764942727983,0.012678212,0.7545041739940643,0.1,0.3225911458333333,-0.04855968803167343,1e-05
