train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,time/fps,time/total_timesteps,train/learning_rate,train/policy_loss,time/iterations,train/explained_variance,train/entropy_loss,time/time_elapsed
0.003088252618908882,0.07526047,33.7,99,377,12800,0.001,-0.010099334642291069,100,0.021323680877685547,-1.9376829862594604,33
0.0036738996859639883,0.10587253999999997,44.03,199,374,25600,0.001,0.022430814802646637,200,0.07730984687805176,-1.504095435142517,68
0.0035473944153636694,0.11629930999999999,57.97,299,376,38400,0.001,0.04136471077799797,300,-0.07137274742126465,-1.7457866668701172,101
0.00219087116420269,0.09828457,47.83,399,378,51200,0.001,-0.008852050639688969,400,0.41257137060165405,-1.6632157564163208,135
0.003934807609766722,0.12602918999999999,53.11,499,380,64000,0.001,-0.062135711312294006,500,0.008112549781799316,-1.7937431335449219,168
9.193622827297077e-05,0.11585680999999999,53.52,599,381,76800,0.001,-0.009875668212771416,600,0.7773571908473969,-1.7694814205169678,201
0.002103793900460005,0.16420273000000002,82.27,699,383,89600,0.001,0.017925938591361046,700,0.6653784513473511,-1.235119104385376,233
0.0009186899987980723,0.13908481000000003,60.33,799,383,102400,0.001,0.007983503863215446,800,0.7855020016431808,-1.7212010622024536,266
0.0006163500947877765,0.16975425000000002,95.22,899,384,115200,0.001,0.007815264165401459,900,0.8777783587574959,-1.1311588287353516,299
3.117156302323565e-05,0.19707851999999998,131.71,999,387,128000,0.001,-0.0034929821267724037,1000,-1.023014783859253,-1.3671536445617676,330
5.012569818063639e-05,0.23149093999999998,203.94,1099,388,140800,0.001,-0.0021984148770570755,1100,-0.10501706600189209,-1.3164000511169434,362
0.00597536051645875,0.250759,215.86,1199,390,153600,0.001,0.022902872413396835,1200,0.32065731287002563,-0.3855462074279785,393
0.0004693503142334521,0.22669477000000002,168.82,1299,389,166400,0.001,-0.026987142860889435,1300,-1.7169055938720703,-1.5617973804473877,427
0.0002194467670051381,0.2604565300000001,219.97,1399,390,179200,0.001,0.010392991825938225,1400,-1.6819603443145752,-1.8010480403900146,459
0.0006891648517921567,0.31089672999999995,272.6,1499,390,192000,0.001,-0.008650479838252068,1500,0.8696905374526978,-1.3738734722137451,492
0.004944209940731525,0.32418464,294.05,1599,391,204800,0.001,0.08627042919397354,1600,0.026545584201812744,-1.804809808731079,523
8.814327884465456e-05,0.32309894000000006,284.15,1699,392,217600,0.001,-0.0039825960993766785,1700,-17.298704147338867,-0.997840166091919,555
5.140092980582267e-05,0.32924829999999994,299.58,1799,391,230400,0.001,0.002969715278595686,1800,-4.595566272735596,-1.2632536888122559,588
5.394442268880084e-05,0.33513095,311.62,1899,389,243200,0.001,-0.009218909777700901,1900,-0.8680065870285034,-1.538282871246338,623
0.0008288242388516665,0.33866599000000003,304.12,1999,390,256000,0.001,-0.010769125074148178,2000,0.8396917283535004,-1.7262150049209595,655
0.007789652794599533,0.34727211999999996,276.55,2099,391,268800,0.001,0.14473162591457367,2100,0.01651298999786377,-1.7984343767166138,686
0.0005538579425774515,0.35870673000000003,288.96,2199,390,281600,0.001,-0.030363421887159348,2200,-1.7284104824066162,-1.83402681350708,721
0.0005143517628312111,0.3530269,298.82,2299,390,294400,0.001,0.028542131185531616,2300,0.941881787031889,-1.4858076572418213,753
0.0018803213024511933,0.37501093,324.87,2399,391,307200,0.001,-0.04317624866962433,2400,0.7549562156200409,-1.57596755027771,785
0.0012853683438152075,0.36756770999999994,322.36,2499,391,320000,0.001,0.010821331292390823,2500,0.7698902040719986,-1.4622145891189575,817
0.00602174736559391,0.35626881,335.61,2599,392,332800,0.001,0.04990213364362717,2600,0.03960132598876953,-1.1200361251831055,848
5.086178134661168e-05,0.3552443200000001,327.36,2699,392,345600,0.001,0.0004451203567441553,2700,-0.6504249572753906,-1.3086087703704834,879
0.006683190353214741,0.35203686999999995,319.47,2799,393,358400,0.001,0.046861130744218826,2800,-0.0009777545928955078,-0.5811632871627808,909
0.0009816234232857823,0.3599605900000001,307.53,2899,394,371200,0.001,0.0007763832691125572,2900,0.7810903787612915,-0.7691726684570312,940
0.0006914919358678162,0.35582113,313.29,2999,395,384000,0.001,-0.021645065397024155,3000,-0.7368673086166382,-1.106858253479004,971
0.0012343230191618204,0.37167729,320.9,3099,395,396800,0.001,-0.024746548384428024,3100,0.7843168675899506,-1.425504207611084,1002
0.0005647119833156466,0.35781553999999993,308.75,3199,395,409600,0.001,-0.016073668375611305,3200,0.9146598875522614,-1.5074870586395264,1035
0.00046279950765892863,0.35568230999999995,299.5,3299,396,422400,0.001,0.032294563949108124,3300,-0.033809781074523926,-1.846412181854248,1066
0.006424766965210438,0.38675072999999993,318.39,3399,396,435200,0.001,0.10671359300613403,3400,-0.2952970266342163,-1.672128677368164,1097
0.0009568840614520013,0.3796670600000001,256.96,3499,396,448000,0.001,-0.03693287819623947,3500,-0.27077293395996094,-1.5298106670379639,1128
0.0005418115179054439,0.40254849,250.3,3599,397,460800,0.001,-0.013437693938612938,3600,0.8860530629754066,-1.3161933422088623,1160
0.004409430548548698,0.47881320999999993,261.82,3699,397,473600,0.001,0.011969970539212227,3700,0.37738800048828125,-1.525618076324463,1191
0.0026037003844976425,0.4839692999999998,229.59,3799,397,486400,0.001,0.022653786465525627,3800,0.19445306062698364,-1.6203501224517822,1223
0.012912356294691563,0.5336839600000001,209.3,3899,398,499200,0.001,0.12946733832359314,3900,0.33743393421173096,-1.503098487854004,1253
