time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/n_updates,train/clip_fraction,train/learning_rate
33,122.16,1.01458298,270336,187,1444,0.0019289968905165248,-0.03884769231081009,-1.2020593898991743,0.005193558,-0.02304181867026879,0.1,0.5213452279567719,480,0.22311197916666667,1e-05
34,123.05,1.0284483100000001,278528,187,1488,0.0017525513366914917,-0.03620791435241699,-1.1760486311589677,0.0056780046,-0.022897739596373867,0.1,0.556509405374527,495,0.221142578125,1e-05
35,126.53,1.0498450499999998,286720,187,1531,0.0018018628458169891,-0.04375869035720825,-1.1501659842208027,0.0054549845,-0.02247396949387621,0.1,0.5552346110343933,510,0.21717936197916668,1e-05
36,131.03,1.10321957,294912,187,1575,0.0018033801280580518,-0.036195069551467896,-1.1322869380625586,0.00544116,-0.023330889319186098,0.1,0.5917978584766388,525,0.229150390625,1e-05
37,117.79,1.0778663499999999,303104,187,1618,0.0017270350077221034,-0.03395278751850128,-1.086965426368018,0.0060851327,-0.02390287642168308,0.1,0.6068783104419708,540,0.227392578125,1e-05
38,115.68,1.08077397,311296,187,1662,0.0018468518593787546,-0.03382277116179466,-1.0253837882851562,0.00595526,-0.0236682129233183,0.1,0.5971662998199463,555,0.22227376302083332,1e-05
39,116.42,1.10057424,319488,187,1706,0.001742116011488785,-0.030498068779706955,-1.0087081440413992,0.0063043553,-0.023457892714456346,0.1,0.6454862654209137,570,0.2224609375,1e-05
40,115.6,1.10346436,327680,187,1749,0.001705655513645373,-0.03875605762004852,-0.979488333625098,0.006983756,-0.02393934775730789,0.1,0.6677587330341339,585,0.23181966145833333,1e-05
41,114.06,1.1116495300000002,335872,187,1793,0.0018173495484006708,-0.04034873843193054,-0.9642480052697162,0.0068060523,-0.023340450761073345,0.1,0.676448404788971,600,0.23330891927083333,1e-05
42,117.03,1.13050847,344064,187,1836,0.0018552285144323832,-0.04202748462557793,-0.9449287018428246,0.0069159116,-0.023687648497192033,0.1,0.6759926676750183,615,0.2341552734375,1e-05
43,116.24,1.1366886200000001,352256,187,1880,0.0017127992358534053,-0.04054184630513191,-0.9289463768402736,0.0066362415,-0.02359664549730951,0.1,0.7015391886234283,630,0.22932942708333334,1e-05
44,116.3,1.10945034,360448,187,1923,0.0017319340848795642,-0.016559023410081863,-0.9061903370854755,0.00755274,-0.0241977174198837,0.1,0.7056656181812286,645,0.23621419270833333,1e-05
45,112.22,1.1240409700000003,368640,187,1967,0.0018072038564241667,-0.03758701682090759,-0.8979763724530737,0.007850195,-0.024070158292306586,0.1,0.7075301110744476,660,0.244921875,1e-05
46,115.6,1.1501125300000001,376832,187,2010,0.0017532114943909012,-0.04150630161166191,-0.8757630211611589,0.007949905,-0.0245362258865498,0.1,0.7131609618663788,675,0.23914388020833333,1e-05
47,119.39,1.12697014,385024,187,2054,0.001604075776413083,-0.030147017911076546,-0.8742743755069872,0.008497458,-0.025781841677962804,0.1,0.7561720460653305,690,0.25877278645833335,1e-05
48,119.02,1.1446538400000001,393216,187,2098,0.0015023514602338158,-0.04525573179125786,-0.855019598826766,0.008363394,-0.02490750394111577,0.1,0.7799501419067383,705,0.2503743489583333,1e-05
49,113.84,1.1677848400000002,401408,187,2141,0.0016736322307830656,-0.03532414883375168,-0.825816263537854,0.008212,-0.02416802622465184,0.1,0.7572709918022156,720,0.24381510416666666,1e-05
50,116.56,1.1506128599999998,409600,187,2185,0.0015394399291229395,-0.04493821784853935,-0.7921546758152544,0.009469007,-0.025173488717215756,0.1,0.781554564833641,735,0.2514892578125,1e-05
51,117.93,1.1653516800000001,417792,187,2228,0.0016757592470942957,-0.02927330695092678,-0.8024537497510512,0.008727081,-0.024847759449039587,0.1,0.7668302655220032,750,0.25186360677083336,1e-05
52,110.05,1.14409849,425984,187,2272,0.0015277368950895227,-0.03000083565711975,-0.7708907454895476,0.008895246,-0.024073412894601156,0.1,0.7883331328630447,765,0.24513346354166668,1e-05
53,110.75,1.14285826,434176,187,2316,0.0015366197801085946,-0.03451676666736603,-0.7462171101321776,0.009394344,-0.024404247593095837,0.1,0.8008829206228256,780,0.23861490885416667,1e-05
54,122.27,1.16856919,442368,187,2359,0.0015082142412817727,-0.031068865209817886,-0.7712498044595122,0.009793877,-0.025318162861367455,0.1,0.8110397458076477,795,0.25148111979166665,1e-05
55,122.23,1.17035574,450560,187,2402,0.0014910318454288548,-0.0315723642706871,-0.8172267234263321,0.00937406,-0.025013297071564012,0.1,0.8264820128679276,810,0.2660319010416667,1e-05
56,110.86,1.17307006,458752,187,2446,0.0014726086863447562,-0.03704708442091942,-0.7399576771073043,0.009737532,-0.024410679980792337,0.1,0.8216183483600616,825,0.253125,1e-05
57,110.56,1.17865178,466944,187,2489,0.0015549609859287254,-0.03667809069156647,-0.7173230058824023,0.010494931,-0.024392888058597843,0.1,0.8090140521526337,840,0.2556884765625,1e-05
58,114.42,1.1789336,475136,187,2534,0.001408728782007529,-0.03256494551897049,-0.7027187606940667,0.01076377,-0.025715786537815196,0.1,0.8265102654695511,855,0.2574462890625,1e-05
59,108.92,1.1809211,483328,187,2578,0.0015162947032270797,-0.034726694226264954,-0.7231668887659908,0.011543525,-0.02499925141892163,0.1,0.8283322900533676,870,0.2593587239583333,1e-05
60,115.14,1.1686461699999997,491520,187,2622,0.001401209414780169,-0.03653139993548393,-0.6687020294057826,0.010980264,-0.024978212651816042,0.1,0.8391348421573639,885,0.25284016927083336,1e-05
61,107.96,1.1745514799999999,499712,187,2666,0.0014002371990197086,-0.025910211727023125,-0.699129290614898,0.011854027,-0.024529051387798973,0.1,0.8403793722391129,900,0.2691243489583333,1e-05
62,109.49,1.16850866,507904,187,2709,0.0013548485483321807,-0.03973173722624779,-0.6493918115117897,0.011485664,-0.024704367538409617,0.1,0.8469258844852448,915,0.24895833333333334,1e-05
