train/explained_variance,train/learning_rate,train/value_loss,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_loss
-17.496511459350586,1e-06,0.0026379404589533806,33,12800,384,100,99,-1.9459097385406494,184.43478260869566,0.18198059420289853,-0.04850950837135315
-0.1529618501663208,1e-06,0.004532387014478445,65,25600,390,200,199,-1.9459097385406494,212.79,0.20448458000000003,0.07968463003635406
-2.6239748001098633,1e-06,0.0014173591043800116,97,38400,392,300,299,-1.9459093809127808,220.58,0.21188996000000004,-0.03195236250758171
-5.3689727783203125,1e-06,0.0012769028544425964,131,51200,389,400,399,-1.9459092617034912,226.48,0.21911885,-0.04782593250274658
-0.030904412269592285,1e-06,0.0027556712739169598,167,64000,382,500,499,-1.945908784866333,220.69,0.20994516000000002,-0.04762966185808182
0.0588911771774292,1e-06,0.002284535439684987,207,76800,369,600,599,-1.9459078311920166,221.11,0.21163117000000004,0.04301629960536957
-7.012691497802734,1e-06,0.0006820143898949027,243,89600,367,700,699,-1.9459073543548584,223.85,0.20095395000000005,-0.030903493985533714
-8.117281913757324,1e-06,0.0008085572044365108,281,102400,363,800,799,-1.9459071159362793,188.57,0.18889815000000001,-0.028718195855617523
0.15680241584777832,1e-06,0.004351050592958927,316,115200,364,900,899,-1.945906162261963,181.87,0.17876055999999999,-0.00416699331253767
-4.386383056640625,1e-06,0.001331671024672687,349,128000,365,1000,999,-1.9459056854248047,206.42,0.19875599000000005,-0.03991317003965378
-6.522258281707764,1e-06,0.0012624913360923529,382,140800,367,1100,1099,-1.9459044933319092,182.48,0.18240206,-0.0235353484749794
0.1357540488243103,1e-06,0.002763193566352129,413,153600,371,1200,1199,-1.945902943611145,201.64,0.19039842000000004,0.0031510679982602596
-15.074975967407227,1e-06,0.0011991227511316538,444,166400,374,1300,1299,-1.9459023475646973,210.41,0.20350651,-0.04865052178502083
-0.7545220851898193,1e-06,0.0007305597537197173,475,179200,376,1400,1399,-1.945900559425354,220.36,0.20941089000000002,-0.013468952849507332
-11.196033477783203,1e-06,0.0014094992075115442,508,192000,377,1500,1499,-1.9458993673324585,199.31,0.20208832000000002,-0.013634412549436092
-2.8822004795074463,1e-06,0.0005427422584034503,538,204800,380,1600,1599,-1.9458980560302734,222.26,0.20963574,0.0029334775172173977
0.2426743507385254,1e-06,0.007185282185673714,570,217600,381,1700,1699,-1.9458938837051392,216.04,0.21515844000000006,0.09782826155424118
-0.32848823070526123,1e-06,0.007136685773730278,603,230400,381,1800,1799,-1.9458918571472168,217.48,0.20720300000000003,0.12375392019748688
-2.9221785068511963,1e-06,0.0007607843726873398,635,243200,382,1900,1899,-1.9458893537521362,219.47,0.21227895000000005,-0.026973620057106018
-5.276367664337158,1e-06,0.0009172437712550163,666,256000,383,2000,1999,-1.9458868503570557,218.48,0.211081,-0.00634611863642931
-5.480179786682129,1e-06,0.0010770873632282019,698,268800,384,2100,2099,-1.9458856582641602,220.63,0.21537354999999997,-0.04251983389258385
-2.212465763092041,1e-06,0.001399679807946086,730,281600,385,2200,2199,-1.9458845853805542,207.41,0.21544330000000003,-0.04316363111138344
-0.17559802532196045,1e-06,0.0033762729726731777,761,294400,386,2300,2299,-1.9458825588226318,197.92,0.20625930000000003,-0.023774025961756706
-2.400797128677368,1e-06,0.0008038519881665707,795,307200,386,2400,2399,-1.9458832740783691,210.2,0.20202640999999996,0.002712464425712824
-4.448234558105469,1e-06,0.0007334362016990781,829,320000,385,2500,2499,-1.94588041305542,227.46,0.20457889999999998,-0.023999368771910667
-0.3594326972961426,1e-06,0.003446039743721485,862,332800,385,2600,2599,-1.9458768367767334,223.2,0.19396938000000002,0.05836930125951767
-9.959089279174805,1e-06,0.0005408398574218154,894,345600,386,2700,2699,-1.945878028869629,213.07,0.20960705000000002,-0.008934351615607738
-4.0796732902526855,1e-06,0.0007607704028487206,926,358400,386,2800,2799,-1.9458755254745483,195.93,0.22359853999999998,0.032172415405511856
0.11466032266616821,1e-06,0.0029035164043307304,958,371200,387,2900,2899,-1.945873498916626,186.01,0.19555978,-0.010398129001259804
0.41066157817840576,1e-06,0.008048780262470245,991,384000,387,3000,2999,-1.9458730220794678,189.94,0.19051026000000001,0.1249493658542633
-9.671256065368652,1e-06,0.0008184670587070286,1024,396800,387,3100,3099,-1.9458701610565186,196.03,0.20439553,-0.021257532760500908
0.15811198949813843,1e-06,0.002368930960074067,1057,409600,387,3200,3199,-1.9458664655685425,197.82,0.20251344999999998,0.060272034257650375
-0.5417416095733643,1e-06,0.003887247759848833,1091,422400,387,3300,3299,-1.9458661079406738,185.91,0.19486239000000005,-0.0019468232057988644
0.12611055374145508,1e-06,0.0050291335210204124,1123,435200,387,3400,3399,-1.9458616971969604,195.62,0.19542885999999998,0.0901665911078453
-9.152702331542969,1e-06,0.0008599483408033848,1155,448000,387,3500,3499,-1.9458591938018799,191.22,0.21096768000000005,-0.03495823219418526
0.21115034818649292,1e-06,0.013229480013251305,1193,460800,386,3600,3599,-1.9458544254302979,234.36,0.24881534,0.19313979148864746
0.3176455497741699,1e-06,0.0017918776720762253,1230,473600,384,3700,3699,-1.9458529949188232,234.61,0.22504611999999993,0.028964217752218246
0.1218366026878357,1e-06,0.0025501095224171877,1267,486400,383,3800,3799,-1.9458494186401367,217.36,0.21439448999999994,0.040283892303705215
0.26179033517837524,1e-06,0.0014797571348026395,1304,499200,382,3900,3899,-1.9458461999893188,178.1,0.19429314999999994,-0.038221657276153564
