rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss
138.06,170,49,1.16117373,401408,2358,0.001747280981756679,1e-05,-1.0326532602620622,0.28680826822916666,720,0.1,0.008869657,-0.026034509891178458,0.72815802693367,-0.05598130077123642
143.12,170,50,1.15542085,409600,2403,0.0016310549360241567,1e-05,-1.0191854739561677,0.29009602864583334,735,0.1,0.009307263,-0.026902812193050827,0.7525398433208466,-0.03704433888196945
137.37,170,51,1.14229731,417792,2450,0.0016507302852611853,1e-05,-1.0351072511014838,0.2935302734375,750,0.1,0.009845059,-0.02708849652747934,0.7683551609516144,-0.04082287847995758
141.13,170,52,1.1402367399999997,425984,2496,0.0016054846301813085,1e-05,-0.9764695542864501,0.29694010416666666,765,0.1,0.010174028,-0.026172298656213875,0.7754208743572235,-0.03732861205935478
136.62,170,53,1.1396647500000001,434176,2542,0.0017235855527057236,1e-05,-0.99816067898646,0.300341796875,780,0.1,0.010914635,-0.027105930336498812,0.7593310177326202,-0.04507686570286751
135.88,170,54,1.1782889699999999,442368,2588,0.0016077758447863744,1e-05,-0.9669130528966586,0.29551595052083335,795,0.1,0.010290256,-0.02645114290959706,0.7848060876131058,-0.045205675065517426
136.19,171,55,1.1773442199999997,450560,2633,0.0015346627229215907,1e-05,-0.9480318484206994,0.3029703776041667,810,0.1,0.01062278,-0.027149841989739798,0.7907133102416992,-0.03767334297299385
133.61,171,56,1.16682596,458752,2679,0.0015068474636185177,1e-05,-0.9304802776624759,0.3088460286458333,825,0.1,0.011277372,-0.027587416840348548,0.7956513464450836,-0.03518452122807503
131.58,171,57,1.1486032900000003,466944,2725,0.0014977397032604736,1e-05,-0.9058508083845178,0.30088704427083335,840,0.1,0.011268204,-0.026694472171948293,0.8063957840204239,-0.04117107018828392
131.97,171,58,1.17680629,475136,2771,0.0014810237466008403,1e-05,-0.9038646402147908,0.2999348958333333,855,0.1,0.011929816,-0.02640186922362773,0.822969526052475,-0.02522846683859825
127.46,171,59,1.1754447000000001,483328,2817,0.0014978446981937547,1e-05,-0.8704674196739991,0.30096842447916666,870,0.1,0.01214144,-0.02640715302428968,0.812411293387413,-0.04397669434547424
116.5,171,60,1.15987076,491520,2863,0.001490768791093918,1e-05,-0.8684788540937006,0.29591471354166665,885,0.1,0.011569901,-0.02548074387498976,0.8244774043560028,-0.022967780008912086
120.03,171,61,1.14575092,499712,2909,0.0013968008057721212,1e-05,-0.7980915742305418,0.28888346354166666,900,0.1,0.012825112,-0.02613937320226493,0.8349539488554001,-0.04335561394691467
120.82,171,62,1.1573009,507904,2955,0.0014875504538091869,1e-05,-0.8273391935663919,0.2996826171875,915,0.1,0.012499118,-0.026752329922358816,0.8228796124458313,-0.03559546917676926
